epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
52,56638.2,0.4004,0.40145,0.06562,0.9517,0.95449,0.97194,0.49846,0.36372,0.33189,0.05687,4.951e-05,4.951e-05,4.951e-05
53,57728.2,0.40311,0.40256,0.0665,0.94669,0.94159,0.96225,0.50063,0.3588,0.33662,0.05691,4.852e-05,4.852e-05,4.852e-05
54,58814.9,0.39749,0.39932,0.06443,0.94698,0.95099,0.96812,0.50759,0.3542,0.32954,0.05516,4.753e-05,4.753e-05,4.753e-05
55,59902.6,0.39433,0.39558,0.06413,0.94898,0.95992,0.97414,0.50789,0.35544,0.32794,0.05554,4.654e-05,4.654e-05,4.654e-05
56,60990.1,0.39073,0.39537,0.06379,0.96713,0.94603,0.97031,0.50401,0.36092,0.33243,0.05722,4.555e-05,4.555e-05,4.555e-05
57,62076.9,0.38923,0.39056,0.06361,0.94027,0.96538,0.97029,0.50354,0.36,0.32717,0.05613,4.456e-05,4.456e-05,4.456e-05
58,63165.9,0.39506,0.39378,0.06394,0.95075,0.96061,0.97648,0.51265,0.35415,0.32552,0.05509,4.357e-05,4.357e-05,4.357e-05
59,64252.9,0.38787,0.39298,0.06239,0.96335,0.94883,0.98051,0.53659,0.34235,0.346,0.05267,4.258e-05,4.258e-05,4.258e-05
60,65343.6,0.38699,0.39715,0.06231,0.96334,0.95465,0.97732,0.52582,0.34402,0.33349,0.05339,4.159e-05,4.159e-05,4.159e-05
61,66432.3,0.39033,0.38958,0.06328,0.96139,0.95894,0.97858,0.52458,0.34647,0.3257,0.05301,4.06e-05,4.06e-05,4.06e-05
62,67521.5,0.38409,0.38751,0.0616,0.96007,0.9678,0.97902,0.52967,0.34726,0.32353,0.05318,3.961e-05,3.961e-05,3.961e-05
63,68608.3,0.37492,0.38205,0.06019,0.96059,0.96811,0.97802,0.53024,0.34455,0.32175,0.0532,3.862e-05,3.862e-05,3.862e-05
64,69696.6,0.3777,0.389,0.06085,0.95865,0.96172,0.97791,0.53419,0.34378,0.32294,0.05233,3.763e-05,3.763e-05,3.763e-05
65,70784.4,0.37644,0.38734,0.06028,0.95015,0.97396,0.98137,0.52323,0.3497,0.32022,0.05382,3.664e-05,3.664e-05,3.664e-05
66,71872.3,0.37313,0.38478,0.05976,0.96466,0.95528,0.97596,0.51948,0.34933,0.3246,0.05365,3.565e-05,3.565e-05,3.565e-05
67,72961.6,0.37555,0.38226,0.06013,0.95518,0.96653,0.97592,0.52369,0.34373,0.32378,0.05347,3.466e-05,3.466e-05,3.466e-05
68,74048.7,0.36761,0.38501,0.0588,0.96067,0.96913,0.98478,0.53277,0.341,0.32138,0.05229,3.367e-05,3.367e-05,3.367e-05
69,75137.1,0.3691,0.38388,0.05914,0.959,0.97175,0.98434,0.53178,0.34209,0.31986,0.05224,3.268e-05,3.268e-05,3.268e-05
